"filename", "language", "Markdown", "MS SQL", "JSON", "TypeScript", "JavaScript", "CSS", "TypeScript JSX", "Groovy", "XML", "comment", "blank", "total"
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\fleet\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 238, 0, 0, 7, 23, 268
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\fulfillment\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 6
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\generators\barcode\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 245, 0, 0, 3, 28, 276
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\generators\export-docs\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 304, 0, 0, 4, 25, 333
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\generators\invoice\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 592, 0, 0, 13, 33, 638
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\generators\label\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 275, 0, 0, 4, 27, 306
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\generators\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 125, 0, 0, 1, 15, 141
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\generators\payslip\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 460, 0, 0, 14, 36, 510
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\generators\purchase-order\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 416, 0, 0, 6, 29, 451
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\generators\qr\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 438, 0, 0, 4, 28, 470
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\import\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 639, 0, 0, 24, 57, 720
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\inventory\import\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 373, 0, 0, 8, 44, 425
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\inventory\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 987, 0, 0, 28, 101, 1116
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\invoices\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 457, 0, 0, 9, 42, 508
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\invoices\new\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 748, 0, 0, 37, 78, 863
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\invoices\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 363, 0, 0, 1, 27, 391
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\invoices\recurring\new\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 126, 0, 0, 4, 14, 144
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\invoices\recurring\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 9, 103
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\karigars\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 806, 0, 0, 17, 66, 889
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\khata\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 749, 0, 0, 20, 63, 832
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\ledger\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\lens-legacy\history\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 193, 0, 0, 3, 14, 210
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\lens-legacy\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 602, 0, 0, 24, 66, 692
