"filename", "language", "TypeScript", "CSS", "TypeScript JSX", "JavaScript", "comment", "blank", "total"
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\purchase\success\page.tsx", "TypeScript JSX", 0, 0, -76, 0, -3, -10, -89
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\purchase\suggestions\page.tsx", "TypeScript JSX", 0, 0, -201, 0, -2, -21, -224
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\purchase\suppliers\page.tsx", "TypeScript JSX", 0, 0, -262, 0, -3, -17, -282
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\purchases\receive\[poId]\page.tsx", "TypeScript JSX", 0, 0, 120, 0, 4, 14, 138
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\quick-entry\page.tsx", "TypeScript JSX", 0, 0, -787, 0, -30, -72, -889
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\reports\aging\page.tsx", "TypeScript JSX", 0, 0, -305, 0, 0, -37, -342
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\reports\balance-sheet\page.tsx", "TypeScript JSX", 0, 0, -207, 0, -2, -31, -240
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\reports\export\page.tsx", "TypeScript JSX", 0, 0, -255, 0, -1, -24, -280
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\reports\ledger\page.tsx", "TypeScript JSX", 0, 0, -199, 0, -6, -23, -228
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\reports\page.tsx", "TypeScript JSX", 0, 0, -484, 0, -6, -57, -547
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\reports\profit-loss\page.tsx", "TypeScript JSX", 0, 0, -378, 0, -6, -46, -430
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\reports\tax-return\page.tsx", "TypeScript JSX", 0, 0, -269, 0, -6, -26, -301
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\reports\tax\page.tsx", "TypeScript JSX", 0, 0, -273, 0, -11, -32, -316
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\reports\trial-balance\page.tsx", "TypeScript JSX", 0, 0, -261, 0, 0, -28, -289
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\reports\vat\page.tsx", "TypeScript JSX", 0, 0, 197, 0, 6, 20, 223
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\reviews\page.tsx", "TypeScript JSX", 0, 0, -39, 0, 0, -3, -42
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\sales\page.tsx", "TypeScript JSX", 0, 0, -563, 0, -9, -52, -624
