Date : 2026-07-14 00:42:59
Directory : c:\Users\omnora\OneDrive\Desktop\new_system
Total : 742 files,  135696 codes, 4169 comments, 13023 blanks, all 152888 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| omnora-prime-v13\supabase\functions\unlock-period                                                                                                       |          1 |         47 |          3 |         15 |         65 |
| omnora-prime-v13\supabase\functions\verify-license                                                                                                      |          1 |        127 |         12 |         24 |        163 |
| omnora-prime-v13\supabase\functions\verify-pin                                                                                                          |          1 |         73 |          3 |         19 |         95 |
| omnora-prime-v13\supabase\functions\whatsapp-send                                                                                                       |          1 |        117 |          6 |         20 |        143 |
| omnora-prime-v13\supabase\migrations                                                                                                                    |         72 |      5,256 |        556 |        780 |      6,592 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                                | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\omnora\OneDrive\Desktop\new_system\.github\workflows\deploy-cloudflare.yml                                                                     | YAML               |         70 |          5 |         13 |         88 |
| c:\Users\omnora\OneDrive\Desktop\new_system\DEPLOY.md                                                                                                   | Markdown           |         45 |          0 |         22 |         67 |
| c:\Users\omnora\OneDrive\Desktop\new_system\build.sh                                                                                                    | Shell Script       |         12 |          2 |          1 |         15 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\.agents\skills\react-doctor\SKILL.md                                                       | Markdown           |         31 |          0 |         16 |         47 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\.agents\skills\supabase-postgres-best-practices\SKILL.md                                   | Markdown           |         52 |          0 |         13 |         65 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\.agents\skills\supabase-postgres-best-practices\references\_contributing.md                | Markdown           |        118 |          0 |         53 |        171 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\.agents\skills\supabase-postgres-best-practices\references\_sections.md                    | Markdown           |         28 |          0 |         12 |         40 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\.agents\skills\supabase-postgres-best-practices\references\_template.md                    | Markdown           |         24 |          0 |         11 |         35 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\.agents\skills\supabase-postgres-best-practices\references\advanced-full-text-search.md    | Markdown           |         40 |          0 |         16 |         56 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\.agents\skills\supabase-postgres-best-practices\references\advanced-jsonb-indexing.md      | Markdown           |         36 |          0 |         14 |         50 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\.agents\skills\supabase-postgres-best-practices\references\conn-idle-timeout.md            | Markdown           |         34 |          0 |         13 |         47 |
