"filename", "language", "JavaScript", "PowerShell", "MS SQL", "TypeScript", "TypeScript JSX", "JSON", "YAML", "comment", "blank", "total"
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\workforce\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\components\WhatsAppFloat.tsx", "TypeScript JSX", 0, 0, 0, 0, 35, 0, 0, 1, 5, 41
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\components\cctv\AddCameraWizard.tsx", "TypeScript JSX", 0, 0, 0, 0, 502, 0, 0, 17, 44, 563
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\components\cctv\CameraEventFeed.tsx", "TypeScript JSX", 0, 0, 0, 0, 194, 0, 0, 10, 17, 221
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\components\cctv\CameraGrid.tsx", "TypeScript JSX", 0, 0, 0, 0, 260, 0, 0, 11, 28, 299
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\components\shell\AppShell.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\components\shell\GlobalTopBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 5, 25
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\components\shell\IndustrialSidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 20, 0, 0, -2, 0, 18
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\components\shell\QuickActions.tsx", "TypeScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 10, 15
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\hooks\useLicenseValidation.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\lib\accounting\seedAccounts.ts", "TypeScript", 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\lib\db\migrations\0003_add_auto_parts_fields.sql", "MS SQL", 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\lib\db\schema.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\lib\dispatch\generateChallan.ts", "TypeScript", 0, 0, 0, 157, 0, 0, 0, 7, 24, 188
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\lib\industry\configs.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\lib\parties\generateStatement.ts", "TypeScript", 0, 0, 0, 156, 0, 0, 0, 6, 23, 185
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\stores\branchStore.ts", "TypeScript", 0, 0, 0, 88, 0, 0, 0, 4, 14, 106
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\stores\tierStore.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\supabase\migrations\055_cctv_cameras.sql", "MS SQL", 0, 0, 108, 0, 0, 0, 0, 28, 36, 172
"Total", "-", 1096, 61, 111, 1747, 6754, 256, 3, 492, 1023, 11543
