"filename", "language", "JSON with Comments", "TypeScript", "JavaScript", "Markdown", "TypeScript JSX", "MS SQL", "JSON", "XML", "comment", "blank", "total"
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\settings\about\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 140, 0, 0, 0, 0, 10, 150
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\settings\backup\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 562, 0, 0, 0, 32, 60, 654
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\settings\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\settings\users\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 18
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\settings\whatsapp\page.tsx", "TypeScript JSX", 0, 0, 0, 0, -10, 0, 0, 0, 0, -1, -11
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\success\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 298, 0, 0, 0, 8, 18, 324
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\components\cctv\CameraSettings.tsx", "TypeScript JSX", 0, 0, 0, 0, 24, 0, 0, 0, 0, 1, 25
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\components\dashboard\MobileAppBanner.tsx", "TypeScript JSX", 0, 0, 0, 0, 63, 0, 0, 0, 0, 10, 73
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\components\layout\TopBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\components\shell\AppShell.tsx", "TypeScript JSX", 0, 0, 0, 0, 202, 0, 0, 0, 3, 24, 229
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\components\shell\GlobalTopBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\components\shell\IndustrialSidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\components\ui\FeatureGate.tsx", "TypeScript JSX", 0, 0, 0, 0, 98, 0, 0, 0, 2, 16, 116
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\components\ui\GlobalErrorBoundary.tsx", "TypeScript JSX", 0, 0, 0, 0, 66, 0, 0, 0, 0, 12, 78
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\components\ui\TierBadge.tsx", "TypeScript JSX", 0, 0, 0, 0, 41, 0, 0, 0, 0, 7, 48
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\content\blog\cctv-factory-monitoring.md", "Markdown", 0, 0, 0, 28, 0, 0, 0, 0, 0, 17, 45
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\content\blog\karigar-payroll.md", "Markdown", 0, 0, 0, 30, 0, 0, 0, 0, 0, 16, 46
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\content\blog\offline-erp-pakistan.md", "Markdown", 0, 0, 0, 31, 0, 0, 0, 0, 0, 17, 48
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\content\blog\peshgi-software.md", "Markdown", 0, 0, 0, 35, 0, 0, 0, 0, 0, 11, 46
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\content\blog\rice-mill-software.md", "Markdown", 0, 0, 0, 43, 0, 0, 0, 0, 0, 14, 57
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\content\blog\textile-erp-pakistan.md", "Markdown", 0, 0, 0, 45, 0, 0, 0, 0, 0, 15, 60
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\hooks\useLocale.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
