"filename", "language", "YAML", "TypeScript", "MS SQL", "JavaScript", "HTML", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\audit\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -434, 0, -7, -38, -479
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\batches\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -4, 0, 0, -2, -6
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\calculators\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -1373, 0, -89, -129, -1591
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\cashflow\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -467, 0, -6, -35, -508
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\cctv\cameras\new\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -278, 0, -3, -23, -304
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\cctv\cameras\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -322, 0, -6, -22, -350
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\cctv\detections\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -147, 0, -3, -9, -159
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\cctv\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -664, 0, -33, -51, -748
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\compliance\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -21, 0, -1, -7, -29
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\compliance\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -194, 0, -1, -16, -211
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\converters\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -450, 0, -2, -58, -510
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -597, 0, -18, -68, -683
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\dealers\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -4, 0, 0, -2, -6
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\dispatch\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -369, 0, -12, -35, -416
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\export\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -192, 0, -6, -21, -219
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\finance\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -515, 0, -17, -61, -593
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\fleet\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -238, 0, -7, -23, -268
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\fulfillment\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -4, 0, 0, -2, -6
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\generators\barcode\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -245, 0, -3, -28, -276
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\generators\export-docs\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -304, 0, -4, -25, -333
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\generators\invoice\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -597, 0, -13, -33, -643
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\generators\label\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -275, 0, -4, -27, -306
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\generators\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -125, 0, -1, -15, -141
