"filename", "language", "TypeScript", "JSON", "TypeScript JSX", "MS SQL", "JSON with Comments", "JavaScript", "CSS", "XML", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\textile-scanner\App.tsx", "TypeScript JSX", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\textile-scanner\app.json", "JSON", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\textile-scanner\index.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 9
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\textile-scanner\package-lock.json", "JSON", 0, 8941, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8942
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\textile-scanner\package.json", "JSON", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\textile-scanner\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\tsconfig.app.json", "JSON", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\tsconfig.node.json", "JSON", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\vite.config.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"c:\Users\omnora\OneDrive\Desktop\new system\textile-mobile\App.tsx", "TypeScript JSX", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 6, 47
"c:\Users\omnora\OneDrive\Desktop\new system\textile-mobile\app.json", "JSON", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"c:\Users\omnora\OneDrive\Desktop\new system\textile-mobile\eas.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\omnora\OneDrive\Desktop\new system\textile-mobile\package-lock.json", "JSON", 0, 10095, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10096
"c:\Users\omnora\OneDrive\Desktop\new system\textile-mobile\package.json", "JSON", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37
"c:\Users\omnora\OneDrive\Desktop\new system\textile-mobile\src\components\BatchLedgerView.tsx", "TypeScript JSX", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 1, 8, 99
"c:\Users\omnora\OneDrive\Desktop\new system\textile-mobile\src\hooks\useKillSwitch.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 38
"c:\Users\omnora\OneDrive\Desktop\new system\textile-mobile\src\hooks\useScanner.ts", "TypeScript", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13, 102
"c:\Users\omnora\OneDrive\Desktop\new system\textile-mobile\src\hooks\useTransaction.ts", "TypeScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 13, 77
"c:\Users\omnora\OneDrive\Desktop\new system\textile-mobile\src\lib\protocols.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 34
"c:\Users\omnora\OneDrive\Desktop\new system\textile-mobile\src\lib\supabase.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 8
"c:\Users\omnora\OneDrive\Desktop\new system\textile-mobile\src\lib\types.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\omnora\OneDrive\Desktop\new system\textile-mobile\src\screens\ExecutiveDashboard.tsx", "TypeScript JSX", 0, 0, 290, 0, 0, 0, 0, 0, 0, 0, 5, 15, 310
"c:\Users\omnora\OneDrive\Desktop\new system\textile-mobile\src\screens\PartyLedgerView.tsx", "TypeScript JSX", 0, 0, 277, 0, 0, 0, 0, 0, 0, 0, 4, 15, 296
"c:\Users\omnora\OneDrive\Desktop\new system\textile-mobile\src\screens\QRScannerScreen.tsx", "TypeScript JSX", 0, 0, 177, 0, 0, 0, 0, 0, 0, 0, 8, 24, 209
"c:\Users\omnora\OneDrive\Desktop\new system\textile-mobile\src\screens\ScannerScreen.tsx", "TypeScript JSX", 0, 0, 201, 0, 0, 0, 0, 0, 0, 0, 10, 25, 236
"c:\Users\omnora\OneDrive\Desktop\new system\textile-mobile\src\screens\TacticalChatScreen.tsx", "TypeScript JSX", 0, 0, 241, 0, 0, 0, 0, 0, 0, 0, 4, 20, 265
"c:\Users\omnora\OneDrive\Desktop\new system\textile-mobile\src\store\useProductStore.ts", "TypeScript", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17, 126
"c:\Users\omnora\OneDrive\Desktop\new system\textile-mobile\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"Total", "-", 974, 30685, 5667, 152, 22, 64, 53, 27, 60, 16, 190, 797, 38707
